bodyPart,equipment,level,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
upper legs,body weight,Principiante,1587,secuencia de postura sentada de ángulo amplio,hamstrings,quadriceps,calves,Siéntese en el suelo con las piernas extendidas en un ángulo amplio.,Flexiona los pies y contrae los cuádriceps.,Coloque las manos en el suelo detrás de usted para apoyarse.,"Manteniendo la espalda recta, inclínese hacia adelante desde las caderas.",Continúe inclinándose hacia adelante hasta que sienta un estiramiento en los isquiotibiales.,Mantén esta posición durante unas cuantas respiraciones.,,Libere lentamente el estiramiento y vuelva a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,
upper legs,body weight,Principiante,0697,curl de piernas inverso autoasistido,hamstrings,glutes,calves,Acuéstese boca arriba sobre una colchoneta o un banco con las piernas extendidas.,Coloque las manos a los costados o debajo de los glúteos para apoyarse.,"Dobla las rodillas y levanta los pies del suelo, llevando los muslos hacia el pecho.","Haz una pausa por un momento en la parte superior, luego baja lentamente las piernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,body weight,Principiante,1766,curl de piernas inverso autoasistido,hamstrings,glutes,calves,Acuéstese boca abajo en una máquina de curl de piernas con las piernas extendidas y los tobillos enganchados debajo de la palanca acolchada.,Coloque las manos sobre las manijas laterales de la máquina para apoyarse.,"Manteniendo la parte superior del cuerpo estacionaria, exhale y doble las piernas hacia arriba lo más que pueda.",Mantenga la posición contraída durante una breve pausa mientras aprieta los isquiotibiales.,Baje lentamente las piernas a la posición inicial mientras inhala.,Repita el número de repeticiones deseado.,,,,,,,,,
upper legs,body weight,Principiante,0696,Flexión de piernas inversa autoasistido (en el suelo),hamstrings,glutes,calves,Acuéstese boca arriba con las piernas extendidas y los brazos a los costados.,"Doble las rodillas y coloque los pies planos sobre el suelo, separados a la altura de las caderas.","Levanta las caderas del suelo, contrayendo los glúteos y los isquiotibiales.","Lentamente, doble las piernas hacia los glúteos, manteniendo las caderas levantadas.","Haz una pausa por un momento en la parte superior, luego extiende lentamente las piernas hasta la posición inicial.",Baje las caderas nuevamente hasta el suelo.,,Repita el número de repeticiones deseado.,,,,,,,
cardio,body weight,Principiante,3222,Salto en semi sentadilla (masculino),cardiovascular system,quadriceps,hamstrings,Párese con los pies separados al ancho de los hombros.,Dobla las rodillas y baja el cuerpo hasta quedar en posición de sentadilla.,"Salta explosivamente, extendiendo las caderas y las rodillas mientras balanceas los brazos para ganar impulso.",Aterriza suavemente sobre las puntas de los pies y pasa inmediatamente a la siguiente repetición.,Repita el número de repeticiones deseado.,,calves,,,,,,,,
cardio,body weight,Principiante,3656,carrera de zancada corta,cardiovascular system,quadriceps,hamstrings,Busque un espacio abierto o una cinta de correr para realizar el ejercicio.,Ponte de pie con los pies separados a la altura de las caderas.,"Comience a trotar en el mismo lugar, levantando las rodillas en alto y moviendo los brazos.","Después de unos segundos, comience a dar pasos cortos hacia adelante, manteniendo un ritmo rápido.",Continúe corriendo con pasos cortos durante la duración o distancia deseada.,,calves,,,,,,,,
back,body weight,Intermedio,1763,dominadas con agarre de hombro,lats,biceps,forearms,Sujete la barra de dominadas con un agarre a la altura de los hombros y con las palmas hacia afuera.,Cuélguese libremente con los brazos completamente extendidos.,Contraiga los músculos de la espalda y tire del cuerpo hacia la barra hasta que el mentón quede por encima de ella.,"Haz una pausa por un momento en la parte superior, luego baja lentamente el cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
waist,body weight,Principiante,3699,toque de hombro,abs,shoulders,triceps,Comience en una posición de plancha alta con las manos directamente debajo de los hombros y el cuerpo en línea recta.,"Contraiga el centro del cuerpo y levante la mano derecha del suelo, estirándola para tocar su hombro izquierdo.",Coloca tu mano derecha nuevamente en el suelo y repite con tu mano izquierda tocando tu hombro derecho.,Continúe alternando toques en los hombros mientras mantiene estables las caderas y el torso.,Repita el número de repeticiones deseado.,,,,,,,,,,
chest,body weight,Principiante,0699,flexiones con toque de hombro,pectorals,triceps,core,Comience en una posición de plancha alta con las manos ligeramente más separadas que el ancho de los hombros y el cuerpo en línea recta desde la cabeza hasta los talones.,Baje el cuerpo hacia el suelo doblando los codos y manteniéndolos cerca de los costados.,"Mientras empujas hacia arriba, levanta la mano derecha del suelo y toca tu hombro izquierdo.","Regresa tu mano derecha al suelo y repite la flexión, esta vez levantando tu mano izquierda y tocando tu hombro derecho.",Continúe alternando toques en los hombros con cada repetición de flexión.,Mantenga un núcleo estable y evite la rotación excesiva de la cadera durante todo el ejercicio.,,Repita el número de repeticiones deseado.,,,,,,,
upper legs,body weight,Principiante,1774,abducción de cadera con puente lateral,abductors,glutes,obliques,Acuéstese de lado con las piernas extendidas y apiladas una sobre otra.,"Apóyese sobre su antebrazo, manteniendo el codo directamente debajo del hombro.","Contrae el centro del cuerpo y levanta las caderas del suelo, creando una línea recta desde la cabeza hasta los pies.","Manteniendo el centro del cuerpo contraído, levante la pierna superior lo más alto posible sin girar las caderas.","Haz una pausa por un momento en la parte superior, luego baja la pierna nuevamente.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de lado.,,,,,,,,,
waist,body weight,Principiante,0705,puente lateral v. 2,abs,obliques,glutes,Acuéstese de lado con las piernas extendidas y apiladas una sobre otra.,"Coloque su antebrazo en el suelo directamente debajo de su hombro, con el codo doblado en un ángulo de 90 grados.","Contrae el centro del cuerpo y levanta las caderas del suelo, creando una línea recta desde la cabeza hasta los pies.",Mantenga esta posición durante el tiempo deseado.,Baje las caderas nuevamente a la posición inicial.,Repita en el otro lado.,,,,,,,,,
waist,body weight,Principiante,0709,cadera lateral (en barras paralelas),abs,obliques,hip flexors,Párese entre dos barras paralelas con los pies separados al ancho de los hombros.,"Coloca tus manos sobre las barras y levanta tu cuerpo del suelo, apoyando tu peso en tus brazos.","Contrae los abdominales y levanta lentamente las piernas hacia los lados, manteniéndolas rectas.","Haz una pausa por un momento en la parte superior, luego baja lentamente las piernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,body weight,Principiante,0710,abducción lateral de cadera,abductors,glutes,quadriceps,Párese con los pies separados al ancho de los hombros y las manos en las caderas.,"Transfiere tu peso a una pierna y levanta la pierna opuesta hacia el costado, manteniéndola recta.","Haz una pausa por un momento en la parte superior, luego baja lentamente la pierna hasta la posición inicial.",Repita en el otro lado.,Continúe alternando lados durante el número deseado de repeticiones.,,,,,,,,,,
back,body weight,Principiante,1358,estiramiento en el suelo acostado de lado,lats,obliques,glutes,Acuéstese de lado con las piernas estiradas y el brazo inferior extendido hacia arriba.,Doble la rodilla superior y coloque el pie en el suelo delante de la pierna inferior.,"Extiende el brazo superior por encima de la cabeza y agárrate a algo estable, como una pared o un mueble.","Levante lentamente la pierna inferior del suelo, manteniéndola recta, hasta que sienta un estiramiento en el costado.",Mantenga el estiramiento durante 20 a 30 segundos y luego baje lentamente la pierna.,Repita en el otro lado.,,,,,,,,,
upper legs,body weight,Principiante,3667,aducción de cadera en decúbito lateral (hombre),adductors,glutes,hamstrings,Acuéstese de lado con las piernas estiradas y apiladas una sobre otra.,Coloque el brazo inferior debajo de la cabeza para apoyarse.,Contrae los aductores y levanta la pierna superior lo más alto posible sin girar las caderas ni inclinarte hacia atrás.,"Haz una pausa por un momento en la parte superior, luego baja lentamente la pierna hasta la posición inicial.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de lado.,,,,,,,,,,
upper legs,body weight,Principiante,1775,aducción de cadera en plancha lateral,adductors,obliques,glutes,Comience recostándose de lado con las piernas extendidas y apiladas una sobre otra.,"Apóyese sobre su antebrazo, manteniendo el codo directamente debajo del hombro.","Contrae el centro del cuerpo y levanta las caderas del suelo, creando una línea recta desde la cabeza hasta los pies.","Manteniendo la posición de plancha lateral, levante la pierna superior hacia el techo, manteniéndola recta.",Baje lentamente la pierna hasta la posición inicial.,Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de lado.,,,,,,,,,
neck,body weight,Principiante,0716,estiramiento de cuello con empuje lateral,levator scapulae,trapezius,sternocleidomastoid,Párese o siéntese derecho con los hombros relajados.,"Inclina la cabeza hacia la derecha, llevando tu oreja derecha hacia tu hombro derecho.",Coloque su mano derecha en el lado izquierdo de su cabeza y aplique suavemente presión para aumentar el estiramiento.,Mantenga el estiramiento durante 15 a 30 segundos.,"Repita del otro lado, inclinando la cabeza hacia la izquierda y aplicando presión con la mano izquierda.",Repita el estiramiento 2-3 veces de cada lado.,,,,,,,,,
upper arms,body weight,Principiante,0717,flexión lateral,triceps,shoulders,chest,Comience recostándose de lado con las piernas extendidas y apiladas una sobre otra.,"Coloque la mano inferior en el suelo directamente debajo del hombro, con los dedos apuntando hacia adelante.","Presione con la mano inferior para levantar el cuerpo del suelo, manteniendo las piernas rectas y el centro del cuerpo contraído.","Extiende el brazo superior hacia el techo, creando una línea recta desde la cabeza hasta los talones.",Baje el cuerpo nuevamente a la posición inicial con control.,Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de lado.,core,,,,,,,,
lower arms,body weight,Principiante,0721,estiramiento de muñeca lateral,forearms,wrists,hands,Párese con los pies separados al ancho de los hombros y los brazos extendidos frente a usted.,"Extiende tu brazo derecho hacia un costado, paralelo al suelo, con la palma hacia abajo.","Con la mano izquierda, toma tu mano derecha y tira suavemente de ella hacia tu cuerpo, sintiendo un estiramiento en tu antebrazo derecho.",Mantenga el estiramiento durante 15 a 30 segundos y luego suéltelo.,Repita en el otro lado.,,,,,,,,,,
back,body weight,Principiante,0720,barbilla de lado a lado,lats,biceps,forearms,Párese con los pies separados al ancho de los hombros y las rodillas ligeramente dobladas.,Sujete una barra de dominadas con un agarre superior y las manos separadas un poco más allá del ancho de los hombros.,Cuélguese de la barra con los brazos completamente extendidos y el cuerpo relajado.,"Levántate doblando los codos y llevando la barbilla hacia la barra, mientras mantienes el cuerpo recto.","Una vez que tu barbilla esté por encima de la barra, baja nuevamente a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
waist,body weight,Principiante,3213,toque de pies de lado a lado (masculino),abs,obliques,hip flexors,Párese con los pies separados al ancho de los hombros y los brazos extendidos hacia los lados.,"Dobla la cintura hacia la derecha, extendiendo la mano derecha hacia el pie derecho mientras mantienes la mano izquierda extendida hacia un lado.","Regresa a la posición inicial y luego dobla la cintura hacia la izquierda, extendiendo tu mano izquierda hacia tu pie izquierdo mientras mantienes tu mano derecha extendida hacia un lado.",Repita el movimiento de flexión de lado a lado durante la cantidad deseada de repeticiones.,,,,,,,,,,,
chest,body weight,Principiante,0725,flexión con un solo brazo,pectorals,triceps,shoulders,Comience en posición de flexión con las manos separadas al ancho de los hombros y una mano colocada ligeramente más ancha que la otra.,Contrae el centro del cuerpo y baja el cuerpo hacia el suelo doblando los codos y manteniendo la espalda recta.,"A medida que bajas, desplaza tu peso hacia un lado y levanta el brazo opuesto del suelo, extendiéndolo hacia el costado.","Empuja con el pecho y los tríceps para levantar el cuerpo nuevamente a la posición inicial, mientras simultáneamente bajas el brazo extendido hacia el suelo.","Repite el movimiento, alternando el brazo que extiendes con cada repetición.",,core,,,,,,,,
upper legs,body weight,Intermedio,3645,Puente de una sola pierna con la pierna extendida,glutes,hamstrings,quadriceps,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,Extiende una pierna hacia adelante.,"Contrae los glúteos y levanta las caderas del suelo, formando una línea recta desde las rodillas hasta los hombros.","Mantén la posición por un momento, luego baja lentamente las caderas hasta la posición inicial.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de pierna.,,,,,,,,,,
lower legs,dumbbell,Avanzado,0727,elevación de pantorrillas con una pierna (con mancuerna),calves,ankles,feet,Párese con los pies separados al ancho de las caderas y sostenga una mancuerna en una mano.,Levante un pie del suelo y mantenga el equilibrio sobre el otro pie.,"Levante lentamente el talón lo más alto que pueda, utilizando los músculos de la pantorrilla.","Haz una pausa por un momento en la parte superior, luego baja lentamente el talón.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie a la otra pierna.,,,,,,,,,,
upper legs,body weight,Avanzado,0730,Tobogán de plataforma de una sola pierna,hamstrings,glutes,quadriceps,Comience parándose con un pie sobre una plataforma o tabla deslizante.,"Dobla ligeramente la rodilla y desliza el pie sobre la plataforma hacia atrás, extendiendo la pierna.",Mantenga el centro del cuerpo contraído y mantenga una postura recta durante todo el movimiento.,Regrese lentamente a la posición inicial deslizando el pie hacia atrás.,Repita el movimiento la cantidad de repeticiones deseada y luego cambie de pierna.,,,,,,,,,,
upper legs,body weight,Avanzado,1759,sentadilla con una pierna (pistola) masculina,glutes,quadriceps,hamstrings,Párese con los pies separados al ancho de los hombros y los brazos extendidos frente a usted.,Levanta el pie derecho del suelo y extiéndelo hacia adelante.,Baje lentamente el cuerpo doblando la rodilla izquierda y empujando las caderas hacia atrás.,Mantenga el pecho erguido y la espalda recta mientras baja.,"Baje hasta que su muslo izquierdo quede paralelo al suelo, o tan bajo como pueda llegar cómodamente.","Haz una pausa por un momento en la parte inferior, luego empuja con el talón izquierdo para regresar a la posición inicial.",calves,Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de pierna.,,,,,,,
upper legs,body weight,Principiante,1489,sentadilla de mariquita,quads,calves,glutes,Párese con los pies separados al ancho de los hombros y los dedos de los pies apuntando ligeramente hacia afuera.,"Si es necesario, agárrese de un objeto estable para mantener el equilibrio.","Baje lentamente el cuerpo doblando las rodillas e inclinándose hacia atrás, manteniendo el torso erguido.",Continúa bajando hasta que tus muslos queden paralelos al suelo o hasta donde puedas llegar cómodamente.,"Haz una pausa por un momento, luego empuja con los talones para volver a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
waist,body weight,Principiante,0735,abdominales v. 2,abs,hip flexors,,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,Coloque las manos detrás de la cabeza con los codos apuntando hacia afuera.,"Contrayendo los abdominales, levante lentamente la parte superior del cuerpo del suelo, curvándose hacia delante hasta que el torso forme un ángulo de 45 grados.","Haz una pausa por un momento en la parte superior, luego baja lentamente la parte superior del cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
waist,body weight,Principiante,3679,abdominales con los brazos en el pecho,abs,hip flexors,,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,Cruza los brazos sobre el pecho.,"Contrayendo los abdominales, levanta la parte superior del cuerpo del suelo hacia las rodillas.","Haz una pausa por un momento en la parte superior, luego baja lentamente la parte superior del cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
cardio,body weight,Principiante,3361,saltos de patinador,cardiovascular system,quadriceps,hamstrings,Párese con los pies separados al ancho de los hombros.,"Dobla ligeramente las rodillas y salta hacia la derecha, aterrizando sobre el pie derecho.","Al aterrizar, balancee la pierna izquierda detrás de la pierna derecha y toque el suelo con los dedos del pie izquierdo.","Salta inmediatamente hacia la izquierda, aterrizando sobre tu pie izquierdo.","Al aterrizar, balancee la pierna derecha detrás de la pierna izquierda y toque el suelo con los dedos del pie derecho.","Continúa alternando lados, saltando y golpeando el suelo con cada pierna.",glutes,Repita el número de repeticiones deseado.,,calves,,,,,
upper arms,skierg machine,Principiante,2142,ergómetro de esquí,triceps,shoulders,forearms,Ajuste la altura del asiento y los reposapiés a una posición cómoda.,"Sujete las manijas con un agarre superior, con las palmas hacia abajo.",Siéntese derecho con los pies apoyados sobre los reposapiés.,"Extiende los brazos hacia delante, manteniendo los codos ligeramente doblados.",Contrae los tríceps y empuja las manijas hacia los muslos.,Haz una pausa por un momento en la parte inferior y luego regresa lentamente a la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
cardio,body weight,Principiante,3671,escalón de esquí,cardiovascular system,quadriceps,hamstrings,Párese con los pies separados al ancho de los hombros.,Doble ligeramente las rodillas y mantenga la espalda recta.,"Salta hacia la derecha, aterrizando sobre tu pie derecho mientras balanceas tu pierna izquierda detrás de tu pierna derecha.","Salta inmediatamente hacia la izquierda, aterrizando sobre tu pie izquierdo mientras balanceas tu pierna derecha detrás de tu pierna izquierda.","Continúe alternando saltos de un lado a otro, imitando un movimiento de esquí.",Repita el número de repeticiones deseado.,glutes,,,calves,,,,,
back,body weight,Principiante,3304,despellejar al gato,upper back,shoulders,core,Comience colgándose de una barra con los brazos completamente extendidos y el cuerpo relajado.,"Contraiga el centro del cuerpo y levante las piernas, llevando las rodillas hacia el pecho.","Continúa levantando las piernas hacia arriba y por encima de la cabeza, permitiendo que tu cuerpo pase a través de los brazos.","Una vez que tus piernas estén completamente extendidas sobre tu cabeza, comienza a bajarlas nuevamente hacia la posición inicial.","A medida que bajas las piernas, permite que tu cuerpo pase hacia atrás a través de los brazos hasta que vuelvas a quedar colgando con los brazos completamente extendidos.",Repita el número de repeticiones deseado.,,,,,,,,,
upper legs,sled machine,Avanzado,1425,Prensa de una pierna en trineo de 45 grados,glutes,quadriceps,hamstrings,Ajuste la máquina de trineo a un ángulo de 45 grados.,Siéntese en la máquina de trineo con la espalda apoyada contra la almohadilla y los pies sobre el reposapiés.,"Coloque un pie sobre el reposapiés y extienda la pierna, empujando el trineo lejos de usted.",Doble lentamente la rodilla y baje el trineo a la posición inicial.,Repita con la otra pierna.,Continúe alternando las piernas durante el número deseado de repeticiones.,calves,,,,,,,,
lower legs,sled machine,Principiante,0738,Prensa de pantorrillas en trineo a 45°,calves,hamstrings,,Ajuste la máquina de trineo a un ángulo de 45 grados.,Coloque los pies sobre la plataforma del trineo con los dedos apuntando hacia adelante.,Empuje la plataforma del trineo lejos de usted extendiendo los tobillos y las pantorrillas.,"Haga una pausa por un momento en la parte superior, luego baje lentamente la plataforma del trineo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,sled machine,Principiante,0739,Prensa de piernas en trineo a 45°,glutes,quadriceps,hamstrings,Ajuste el asiento y el reposapiés del trineo a una posición cómoda.,Siéntese en la máquina de trineo con la espalda apoyada contra el respaldo y los pies separados al ancho de los hombros sobre el reposapiés.,Sujete las asas situadas a los lados del asiento para mayor estabilidad.,Empuje el reposapiés lejos de su cuerpo extendiendo las piernas y manteniendo los talones sobre el reposapiés.,"Continúa empujando hasta que tus piernas estén casi completamente extendidas, pero sin bloquear las rodillas.","Haga una pausa por un momento en la parte superior del movimiento, luego baje lentamente el reposapiés hacia su cuerpo doblando las rodillas.",calves,Repita el número de repeticiones deseado.,,,,,,,
upper legs,sled machine,Principiante,1464,Prensa de piernas en trineo a 45° (punto de vista desde atrás),glutes,quadriceps,hamstrings,Ajuste el asiento del trineo de manera que sus rodillas formen un ángulo de 45 grados.,Siéntese en la máquina de trineo con la espalda apoyada contra el respaldo y los pies separados al ancho de los hombros sobre el reposapiés.,Sujete las asas situadas a los lados del asiento para mayor estabilidad.,Empuje el reposapiés lejos de su cuerpo extendiendo las piernas y manteniendo los talones sobre el reposapiés.,Haga una pausa por un momento en la posición completamente extendida.,"Doble lentamente las rodillas y baje el reposapiés hacia su cuerpo, controlando el movimiento.",calves,Repita el número de repeticiones deseado.,,,,,,,
upper legs,sled machine,Principiante,1463,Prensa de piernas en trineo a 45° (punto de vista lateral),glutes,quadriceps,hamstrings,Ajuste el asiento del trineo de manera que sus rodillas formen un ángulo de 90 grados cuando sus pies estén sobre el reposapiés.,Siéntese en la máquina de trineo con la espalda plana contra el respaldo y los pies separados al ancho de los hombros sobre el reposapiés.,Sujete las asas situadas a los lados del asiento para mayor estabilidad.,"Empuje contra el reposapiés para extender las piernas, estirándolas por completo.","Haga una pausa por un momento en la parte superior, luego doble lentamente las rodillas para bajar el reposapiés a la posición inicial.",Repita el número de repeticiones deseado.,calves,,,,,,,,
upper legs,sled machine,Principiante,0740,Prensa de trineo con piernas abiertas a 45°,glutes,quadriceps,hamstrings,Ajuste la máquina de trineo a un ángulo de 45 grados.,Siéntese en la máquina de trineo con la espalda apoyada contra la almohadilla y los pies sobre la plataforma.,Coloca los pies a una distancia mayor que el ancho de los hombros.,Empuje contra la plataforma para los pies para extender las piernas y estirar las rodillas.,"Haga una pausa por un momento al final del movimiento, luego doble lentamente las rodillas para volver a la posición inicial.",Repita el número de repeticiones deseado.,calves,,,,,,,,
lower legs,sled machine,Principiante,1391,prensa de pantorrillas de trineo en prensa de piernas,calves,hamstrings,quadriceps,Ajuste el asiento de la máquina de prensa de piernas de modo que sus rodillas estén ligeramente dobladas cuando sus pies estén sobre el trineo.,"Coloque los pies separados al ancho de los hombros sobre el trineo, con los dedos de los pies apuntando hacia adelante.",Suelte las manijas de seguridad y empuje el trineo lejos de usted extendiendo las rodillas y los tobillos.,"Haga una pausa por un momento en la parte superior del movimiento, luego baje lentamente el trineo doblando las rodillas y los tobillos.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,sled machine,Principiante,0741,sentadilla hack con trineo más cerca,glutes,quadriceps,hamstrings,Ajuste la máquina de trineo a un peso cómodo y colóquese con la espalda apoyada contra la almohadilla.,"Coloque los pies separados al ancho de los hombros sobre la plataforma, con los dedos ligeramente apuntando hacia afuera.",Sujete las manijas de los lados de la máquina para mayor estabilidad.,"Contraiga el centro del cuerpo y baje lentamente el cuerpo doblando las rodillas y las caderas, manteniendo la espalda recta.",Continúa bajando hasta que tus muslos estén paralelos al suelo o ligeramente más abajo.,"Haz una pausa por un momento en la parte inferior, luego empuja con los talones para extender las piernas y regresar a la posición inicial.",calves,Repita el número de repeticiones deseado.,,,,,,,
lower legs,sled machine,Principiante,0742,elevación de pantorrillas en ángulo hacia adelante con trineo,calves,hamstrings,glutes,Ajuste la máquina de trineo a un peso cómodo y colóquese en la máquina con los dedos de los pies sobre la plataforma y los talones colgando.,Coloque las manos sobre las manijas o los lados de la máquina para apoyarse.,"Contrae las pantorrillas y levanta lentamente los talones lo más alto que puedas, empujando contra la resistencia del trineo.","Haz una pausa por un momento en la parte superior del movimiento, luego baja lentamente los talones hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,sled machine,Principiante,0743,sentadilla con trineo,glutes,quadriceps,hamstrings,Ajuste la máquina de trineo a una posición cómoda para su altura.,"Párese con los pies separados al ancho de los hombros sobre la plataforma, con los dedos de los pies ligeramente apuntando hacia afuera.",Sujétese de las manijas o barras para mayor estabilidad.,"Baje el cuerpo doblando las rodillas y las caderas, manteniendo la espalda recta y el pecho hacia arriba.",Continúa bajando hasta que tus muslos estén paralelos al suelo o ligeramente más abajo.,"Haga una pausa por un momento, luego empuje con los talones para levantar el cuerpo nuevamente a la posición inicial.",calves,Repita el número de repeticiones deseado.,,,,,,,
lower legs,sled machine,Principiante,2334,prensa de pantorrillas tumbado en trineo,calves,hamstrings,glutes,Ajuste la máquina de trineo a un peso cómodo.,Siéntese en la máquina de trineo con la espalda apoyada contra la almohadilla y los pies sobre la plataforma.,"Coloca los dedos de los pies y las puntas de los pies en el borde de la plataforma, con los talones colgando.",Empuja la plataforma lejos de ti extendiendo los tobillos y manteniendo las rodillas ligeramente dobladas.,Continúe empujando hasta que sus pantorrillas estén completamente contraídas.,Mantenga la contracción por un momento y luego baje lentamente la plataforma a la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper legs,sled machine,Principiante,0744,sentadilla en trineo,glutes,quadriceps,hamstrings,Ajuste la máquina de trineo a un peso cómodo.,Acuéstese boca arriba sobre la máquina de trineo con los pies sobre el reposapiés.,Coloca los pies separados al ancho de los hombros y ligeramente inclinados hacia afuera.,Sujete las manijas del trineo para mayor estabilidad.,Contraiga los glúteos y los músculos centrales.,Empuja con los talones y extiende las piernas para levantar el trineo.,calves,Baje el trineo nuevamente doblando las rodillas y las caderas.,Repita el número de repeticiones deseado.,,,,,,
lower legs,sled machine,Avanzado,1392,Prensa de pantorrillas con una pierna en trineo,calves,hamstrings,glutes,Ajuste el asiento de la máquina de prensa de piernas de modo que sus rodillas estén ligeramente dobladas cuando sus pies estén sobre el trineo.,"Siéntese en la máquina con la espalda apoyada contra el respaldo y los pies sobre el trineo, separados al ancho de los hombros.","Coloque los dedos de los pies y las puntas de los pies sobre el trineo, manteniendo los talones fuera.",Empuja el trineo hacia adelante extendiendo los tobillos y manteniendo las rodillas ligeramente dobladas.,"Haz una pausa por un momento en la parte superior, luego baja lentamente el trineo flexionando los tobillos.",Repita el número de repeticiones deseado.,,,,,,,,,
waist,hammer,Principiante,1496,maza,abs,forearms,shoulders,Párese con los pies separados al ancho de los hombros y sostenga el mazo con ambas manos.,Contraiga el centro del cuerpo y mantenga la espalda recta.,"Balancee el mazo hacia el suelo, utilizando la fuerza del centro y de la parte superior del cuerpo.","A medida que bajas, gira las caderas y transfiere la fuerza al martillo.",Repita el número de repeticiones deseado.,,,,,,,,,,
back,smith machine,Principiante,0746,Smith encogiéndose de hombros,traps,shoulders,,Párese con los pies separados al ancho de los hombros y las rodillas ligeramente dobladas.,"Sujete la barra con un agarre por encima de la mano, con las manos ligeramente más separadas que el ancho de los hombros.",Mantenga los brazos rectos y permita que la barra cuelgue delante de sus muslos.,"Levanta los hombros hacia las orejas, apretando los trapecios en la parte superior.",Mantén esta posición por un momento y luego baja los hombros hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
shoulders,smith machine,Principiante,0747,Prensa detrás del cuello de Smith,delts,triceps,upper back,Ajuste la altura del asiento de la máquina Smith de modo que la barra quede al nivel de los hombros.,Párese con los pies separados al ancho de los hombros y las rodillas ligeramente dobladas.,"Sujete la barra con un agarre por encima de la mano, con los brazos ligeramente más separados que el ancho de los hombros.","Levante la barra del soporte y dé un paso atrás, manteniendo una postura estable.","Baje la barra hasta la parte posterior del cuello, manteniendo los codos apuntando hacia adelante.",Presione la barra hacia arriba hasta que sus brazos estén completamente extendidos.,,"Haz una pausa por un momento en la parte superior, luego baja lentamente la barra hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,
chest,smith machine,Principiante,0748,Press de banca Smith,pectorals,triceps,shoulders,Ajuste la altura de la barra de la máquina Smith al nivel del pecho.,Acuéstese en el banco con los pies firmemente apoyados en el suelo.,Sujete la barra con un agarre por encima de la mano y con una separación ligeramente mayor que el ancho de los hombros.,"Saca la barra del soporte y bájala hacia el pecho, manteniendo los codos pegados al cuerpo.",Haz una pausa por un momento cuando la barra toque tu pecho.,"Empuja la barra hacia arriba hasta la posición inicial, extendiendo completamente los brazos.",,Repita el número de repeticiones deseado.,,,,,,,
upper legs,smith machine,Principiante,0749,"Smith se arrodilló, buenos días.",glutes,hamstrings,lower back,Comience parándose con los pies separados al ancho de los hombros y con los dedos de los pies apuntando hacia adelante.,"Coloca la barra sobre la parte superior de la espalda, apoyándola sobre los trapecios.","Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.","Baje el torso hasta que quede paralelo al suelo, sintiendo un estiramiento en los isquiotibiales.",Contrae los glúteos y los isquiotibiales para levantar el torso hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
back,smith machine,Principiante,1359,Smith se inclinó sobre la fila,upper back,biceps,forearms,Coloque la máquina Smith con la barra a la altura de la cadera.,Párese frente a la barra con los pies separados al ancho de los hombros.,"Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.",Sujete la barra con un agarre superior y las manos separadas un poco más allá del ancho de los hombros.,"Tire la barra hacia la parte inferior del pecho, apretando los omóplatos.","Haz una pausa por un momento en la parte superior, luego baja lentamente la barra hasta la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
